id,pokemon,CP,atk IV,def IV,stam IV
1,bagon,940,15,14,11
2,bagon,932,14,6,12
3,bagon,913,10,12,15
4,bagon,908,14,9,1
5,bagon,897,14,8,8
6,bagon,896,12,1,12
7,bagon,875,14,14,3
8,bagon,824,9,2,12
9,bagon,817,7,15,6
10,bagon,811,15,12,14
11,bagon,799,10,2,2
12,bagon,795,11,12,5
13,bagon,791,7,13,10
14,bagon,786,9,6,14
15,bagon,775,6,11,9
16,bagon,774,15,2,4
17,bagon,758,6,8,7
18,bagon,755,5,13,12
19,bagon,753,8,4,7
20,bagon,752,4,15,0
21,bagon,752,4,5,13
22,bagon,749,12,9,13
23,bagon,743,12,8,1
24,bagon,742,10,9,14
25,bagon,705,9,1,13
26,bagon,696,8,5,6
27,bagon,683,8,12,15
28,bagon,679,9,1,3
29,bagon,673,14,3,0
30,bagon,656,9,12,15
31,bagon,644,15,5,8
32,bagon,640,4,12,5
33,bagon,639,13,11,15
34,bagon,638,10,15,15
35,bagon,637,13,1,2
36,bagon,622,10,11,13
37,bagon,620,15,14,13
38,bagon,546,5,14,12
39,bagon,534,10,13,13
40,bagon,526,13,5,14
41,bagon,500,0,5,10
42,bagon,500,0,7,7
43,bagon,496,1,12,12
44,bagon,492,5,6,10
45,bagon,486,11,11,5
46,bagon,474,4,10,13
47,bagon,439,13,14,6
48,bagon,429,13,12,2
49,bagon,398,7,3,5
50,bagon,397,0,2,1
51,bagon,394,10,15,1
52,bagon,389,15,1,7
53,bagon,381,11,3,6
54,bagon,377,15,13,4
55,bagon,365,13,12,0
56,bagon,327,1,14,15
