Stardust	Level
200	1	1.5	2	2.5
400	3	3.5	4	4.5
600	5	5.5	6	6.5
800	7	7.5	8	8.5
1000	9	9.5	10	10.5
1300
1600
1900
2200
2500
3000
3500
4000
4500
5000
6000
7000
8000
9000
1000


 	Per Level	Cumulative
Level	# of Power Ups	Stardust	Candy	Stardust	Candy
1	1	200	1	200	1
1.5	2	200	1	400	2
2	3	200	1	600	3
2.5	4	200	1	800	4
3	5	400	1	1200	5
3.5	6	400	1	1600	6
4	7	400	1	2000	7
4.5	8	400	1	2400	8
5	9	600	1	3000	9
5.5	10	600	1	3600	10
6	11	600	1	4200	11
6.5	12	600	1	4800	12
7	13	800	1	5600	13
7.5	14	800	1	6400	14
8	15	800	1	7200	15
8.5	16	800	1	8000	16
9	17	1000	1	9000	17
9.5	18	1000	1	10000	18
10	19	1000	1	11000	19
10.5	20	1000	1	12000	20
11	21	1300	2	13300	22
11.5	22	1300	2	14600	24
12	23	1300	2	15900	26
12.5	24	1300	2	17200	28
13	25	1600	2	18800	30
13.5	26	1600	2	20400	32
14	27	1600	2	22000	34
14.5	28	1600	2	23600	36
15	29	1900	2	25500	38
15.5	30	1900	2	27400	40
16	31	1900	2	29300	42
16.5	32	1900	2	31200	44
17	33	2200	2	33400	46
17.5	34	2200	2	35600	48
18	35	2200	2	37800	50
18.5	36	2200	2	40000	52
19	37	2500	2	42500	54
19.5	38	2500	2	45000	56
20	39	2500	2	47500	58
20.5	40	2500	2	50000	60
21	41	3000	3	53000	63
21.5	42	3000	3	56000	66
22	43	3000	3	59000	69
22.5	44	3000	3	62000	72
23	45	3500	3	65500	75
23.5	46	3500	3	69000	78
24	47	3500	3	72500	81
24.5	48	3500	3	76000	84
25	49	4000	3	80000	87
25.5	50	4000	3	84000	90
26	51	4000	4	88000	94
26.5	52	4000	4	92000	98
27	53	4500	4	96500	102
27.5	54	4500	4	101000	106
28	55	4500	4	105500	110
28.5	56	4500	4	110000	114
29	57	5000	4	115000	118
29.5	58	5000	4	120000	122
30	59	5000	4	125000	126
30.5	60	5000	4	130000	130
31	61	6000	6	136000	136
31.5	62	6000	6	142000	142
32	63	6000	6	148000	148
32.5	64	6000	6	154000	154
33	65	7000	8	161000	162
33.5	66	7000	8	168000	170
34	67	7000	8	175000	178
34.5	68	7000	8	182000	186
35	69	8000	10	190000	196
35.5	70	8000	10	198000	206
36	71	8000	10	206000	216
36.5	72	8000	10	214000	226
37	73	9000	12	223000	238
37.5	74	9000	12	232000	250
38	75	9000	12	241000	262
38.5	76	9000	12	250000	274
39	77	10000	15	260000	289
39.5	78	10000	15	270000	304
