id,pokemon,CP,atk IV,def IV,stam IV
1,piplup,508,4,2,3
2,piplup,505,7,11,13
3,piplup,492,0,5,0
4,piplup,491,9,7,5
5,piplup,479,3,6,14
6,piplup,454,0,3,10
7,piplup,423,0,5,3
8,piplup,407,13,10,10
9,piplup,388,5,14,10
10,piplup,383,7,0,0
11,piplup,383,10,4,7
12,piplup,366,5,8,1
13,piplup,336,3,6,5
14,piplup,325,9,4,7
15,piplup,324,13,12,11
16,piplup,319,10,15,10
17,piplup,312,14,4,9
18,piplup,312,0,6,15
19,piplup,304,0,3,11
20,piplup,299,14,14,11
21,piplup,298,14,12,13
22,piplup,298,8,6,7
23,piplup,287,15,8,4
24,piplup,286,9,0,1
25,piplup,280,11,6,9
26,piplup,278,7,12,9
27,piplup,263,0,15,7
28,piplup,262,6,6,2
29,piplup,258,14,12,3
30,piplup,248,9,3,15
31,piplup,245,8,5,11
32,piplup,245,9,5,9
33,piplup,226,15,10,1
34,piplup,225,0,1,12
35,piplup,225,13,10,5
36,piplup,217,8,13,2
37,piplup,207,1,10,10
38,piplup,202,5,3,2
39,piplup,200,0,4,11
40,piplup,197,13,12,5
41,piplup,195,15,4,8
42,piplup,192,13,2,12
43,piplup,182,6,2,12
44,piplup,179,6,2,8
45,piplup,172,1,8,0
46,piplup,167,13,6,15
47,piplup,161,14,2,6
48,piplup,161,7,11,11
49,piplup,156,1,15,12
50,piplup,152,0,12,12
51,piplup,149,6,1,4
52,piplup,136,15,12,0
53,piplup,127,4,11,8
54,piplup,123,6,3,5
55,piplup,117,0,6,1
56,piplup,103,10,9,10
57,piplup,70,8,6,5
58,piplup,70,5,4,14
59,piplup,44,14,12,1
60,piplup,40,10,0,1
61,piplup,14,14,11,5
62,piplup,14,11,11,5
63,piplup,13,12,11,0
64,piplup,456,6,8,6
