id,pokemon,CP,atk IV,def IV,stam IV
1,mudkip,44,9,9,2
2,mudkip,102,5,7,5
3,mudkip,106,6,7,15
4,mudkip,115,14,14,13
5,mudkip,125,4,1,3
6,mudkip,132,11,3,0
7,mudkip,136,15,1,3
8,mudkip,163,7,2,13
9,mudkip,169,7,15,4
10,mudkip,170,11,7,9
11,mudkip,185,3,6,4
12,mudkip,236,8,12,13
13,mudkip,261,14,2,7
14,mudkip,281,9,5,2
15,mudkip,288,5,10,11
16,mudkip,327,13,12,0
17,mudkip,342,1,15,10
18,mudkip,364,11,11,11
19,mudkip,365,4,5,13
20,mudkip,386,8,2,3
21,mudkip,392,12,6,15
22,mudkip,404,11,0,13
23,mudkip,414,10,9,9
24,mudkip,434,11,5,6
25,mudkip,436,12,13,14
26,mudkip,445,11,10,6
27,mudkip,449,14,9,4
28,mudkip,476,15,1,12
29,mudkip,491,15,7,12
30,mudkip,504,2,10,9
31,mudkip,543,0,12,2
32,mudkip,561,6,14,10
33,mudkip,581,9,8,7
34,mudkip,596,5,4,15
35,mudkip,604,4,9,14
36,mudkip,606,4,9,15
37,mudkip,841,12,5,15
38,mudkip,330,0,14,3
