id,pokemon,CP,atk IV,def IV,stam IV
1,trapinch,1104,10,13,11
2,trapinch,1094,7,13,9
3,trapinch,1087,15,14,6
4,trapinch,1063,11,8,11
5,trapinch,1048,7,9,12
6,trapinch,1035,8,14,8
7,trapinch,1034,13,11,9
8,trapinch,1025,9,5,9
9,trapinch,1023,12,6,11
10,trapinch,1022,6,13,14
11,trapinch,1011,10,10,9
12,trapinch,1006,6,11,8
13,trapinch,1000,8,15,11
14,trapinch,977,11,12,14
15,trapinch,976,4,7,14
16,trapinch,975,13,8,7
17,trapinch,972,7,4,4
18,trapinch,945,6,9,8
19,trapinch,938,6,12,11
20,trapinch,902,4,6,13
21,trapinch,854,7,15,10
22,trapinch,813,10,11,9
23,trapinch,808,9,11,9
24,trapinch,804,11,13,13
25,trapinch,775,6,13,11
26,trapinch,775,15,9,15
27,trapinch,719,10,15,6
28,trapinch,716,12,15,15
29,trapinch,706,15,10,14
30,trapinch,699,8,12,6
31,trapinch,697,10,13,14
32,trapinch,695,14,15,4
33,trapinch,690,11,10,14
34,trapinch,688,14,4,5
35,trapinch,682,13,8,11
36,trapinch,671,8,10,11
37,trapinch,590,5,11,8
38,trapinch,589,4,14,5
39,trapinch,588,9,9,4
40,trapinch,543,9,13,8
41,trapinch,528,15,11,12
42,trapinch,517,8,15,11
43,trapinch,516,10,12,12
44,trapinch,500,15,4,8
45,trapinch,493,8,9,7
46,trapinch,485,5,8,9
47,trapinch,469,11,7,11
48,trapinch,467,6,10,13
49,trapinch,452,15,10,10
50,trapinch,444,7,6,4
51,trapinch,431,8,8,1
52,trapinch,427,12,14,15
53,trapinch,422,8,5,10
54,trapinch,412,15,9,8
55,trapinch,395,5,14,5
