id,pokemon,CP,atk IV,def IV,stam IV
1,mudkip,553,14,0,9
2,mudkip,293,11,6,8
3,mudkip,212,3,1,9
4,mudkip,547,13,0,8
5,mudkip,317,7,15,0
6,mudkip,512,4,13,5
7,mudkip,340,13,12,11
8,mudkip,160,0,15,5
9,mudkip,466,2,15,14
10,mudkip,389,1,9,11
11,mudkip,508,0,6,6
12,mudkip,556,7,6,2
13,mudkip,14,6,13,4
14,mudkip,401,0,6,6
15,mudkip,265,2,0,8
16,mudkip,447,15,6,5
17,mudkip,371,11,13,14
18,mudkip,15,8,14,14
19,mudkip,162,2,7,14
20,mudkip,169,12,7,5
21,mudkip,418,0,9,14
22,mudkip,229,6,9,12
23,mudkip,441,6,5,3
24,mudkip,563,6,1,15
25,mudkip,160,10,1,3
26,mudkip,335,3,6,12
27,mudkip,464,3,3,10
28,mudkip,113,11,12,15
29,mudkip,344,15,9,15
30,mudkip,476,12,1,1
31,mudkip,498,14,15,7
32,mudkip,266,11,7,11
33,mudkip,175,0,1,1
34,mudkip,296,14,4,8
35,mudkip,330,0,14,3
36,mudkip,497,5,13,11
