id,pokemon,CP,atk IV,def IV,stam IV
1,trapinch,513,11,11,10
2,trapinch,671,8,10,11
3,trapinch,269,14,11,5
4,trapinch,716,14,13,15
5,trapinch,706,15,12,11
6,trapinch,204,11,15,13
7,trapinch,715,12,8,12
8,trapinch,395,4,11,11
9,trapinch,297,6,11,10
10,trapinch,290,7,7,8
11,trapinch,609,7,7,5
12,trapinch,195,7,10,15
13,trapinch,268,10,14,6
14,trapinch,457,14,13,10
15,trapinch,186,4,11,5
16,trapinch,239,12,12,14
17,trapinch,310,15,8,12
18,trapinch,701,14,15,6
19,trapinch,537,6,15,7
20,trapinch,395,4,11,11
21,trapinch,379,8,15,11
